prompt,reference,split
"
Question: Ben has been aiming to buy his dream car for many years. He has saved up every single penny he could save from his salary and even did extra part-time jobs for this. After years of hard work, he finally had enough money to buy his dream car. The day he went to buy the car, as he was on his way to the dealership, he noticed a homeless man on the road in dire need of help. Ben helped the man with a considerable part of his savings so that he could start a new life.
 What emotion is Ben feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Caring & Amusement
B: Caring & Embarrassment
C: Caring & Disgust
D: Hopeless & Disgust
E: Caring & Sadness
F: Embarrassment & Disgust

Cause Options:
A: He helped the homeless man regardless of his own will to buy a car & Giving the homeless man part of his savings meant he could no longer buy his dream car
B: He helped the homeless man regardless of his own will to buy a car & The homeless man bought him a car
C: He donated a minimal amount to charity & The homeless man wanted more money from him
D: He donated a minimal amount to charity & He realized the homeless man is not homeless
E: He saw a distressing news story on television & The homeless man wanted more money from him
F: The homeless man bought him a car & He realized the homeless man is not homeless

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: E: Caring & Sadness, Cause: A: He helped the homeless man regardless of his own will to buy a car & Giving the homeless man part of his savings meant he could no longer buy his dream car",train
"
Question: Lora left her husband with her toddler to go grocery shopping. When she got back home, she saw her husband with her toddler on top of his chest, sleeping on the couch, before noticing the mess in the living room.
 What emotion is Lora feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Annoyance & Nervousness
B: Disapproval & Guilt
C: Love & Annoyance
D: Annoyance & Disapproval
E: Disapproval & Nervousness
F: Love & Guilt

Cause Options:
A: Her husband made a mess in the room and she found their toddler sleeping with him endearing & She got to go out and get a break from toddler duties
B: She felt her personal space invaded & She doesn't want the toddler liking her husband more
C: Her husband made a mess in the room & She loves shopping and was annoyed to come back home
D: Seeing her husband and her toddler bonding and sleeping together warmed her heart & Her husband made a mess in the room and she found their toddler sleeping with him endearing
E: She got to go out and get a break from toddler duties & She felt her personal space invaded
F: Seeing her husband and her toddler bonding and sleeping together warmed her heart & Her husband made a mess in the room

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: C: Love & Annoyance, Cause: F: Seeing her husband and her toddler bonding and sleeping together warmed her heart & Her husband made a mess in the room",train
"
Question: James and I are coworkers. We've been best friends for over a decade. Our boss gives out an employee of the year award every year. This year, we both applied as candidates for this reward and worked hard to get it. The results were announced yesterday. My friend won the award. When we found out, he smiled at first but didn't celebrate.
 What emotion is I feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Disappointment & Remorse
B: Pride & Remorse
C: Disappointment & Indifferent
D: Disappointment & Admiration
E: Amusement & Indifferent
F: Admiration & Pride

Cause Options:
A: I am upset that my friend won the award instead of me & I am convinced that our boss was biased in his decision
B: I am convinced that our boss was biased in his decision & I care for James as my best friend and believe he worked hard to win the award
C: I think I wasn't good enough to win the award & I am convinced that our boss was biased in his decision
D: I am upset that my friend won the award instead of me & I admire our boss for making an unbiased decision
E: I think I wasn't good enough to win the award & I care for James as my best friend and believe he worked hard to win the award
F: I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: D: Disappointment & Admiration, Cause: E: I think I wasn't good enough to win the award & I care for James as my best friend and believe he worked hard to win the award",train
"
Question: I had a challenging physics exam today. Yet, I was well prepared. I answered most of the questions in the exam in a short amount of time and was sure of my answers. However, when I got to the last question, I could not figure out a solution and ended up spending the rest of the exam on it. The moment I came out of the exam hall and started discussing the questions with my friends, I suddenly came up with a solution for the question.
 What emotion is I feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Relief & Pride & Nervousness
B: Relief & Annoyance & Guilt
C: Remorse & Annoyance & Pride
D: Annoyance & Guilt & Pride
E: Remorse & Pride & Nervousness
F: Remorse & Relief & Annoyance

Cause Options:
A: I had the ability to solve the question but didn't think of it during the exam & I found the solution to the problem that I couldn't figure out before & I only found the solution after the exam was over
B: I had the ability to solve the question but didn't think of it during the exam & I was unsure about my answers & I didn't prepare well enough
C: I had difficulty solving the last question & I doubted my own abilities & I only found the solution after the exam was over
D: I had the ability to solve the question but didn't think of it during the exam & I had difficulty solving the last question & I doubted my own abilities
E: I thought I was unprepared for the exam & I had wasted time on it during the exam & I didn't prepare well enough
F: I thought I was unprepared for the exam & I realized I passed the exam & I was unsure about my answers

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: F: Remorse & Relief & Annoyance, Cause: A: I had the ability to solve the question but didn't think of it during the exam & I found the solution to the problem that I couldn't figure out before & I only found the solution after the exam was over",train
"
Question: Laura owns a bakery. She recently got a chance to compete in a high-profile national baking competition. After weeks of grueling preparation, she made it to the final round but unfortunately finished in second place. Despite this, she was praised for her work by her baking idol, a renowned pastry chef.
 What emotion is Laura feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Disappointment & Delight
B: Delight & Hopeful
C: Nervousness & Pride
D: Delight & Sadness
E: Sadness & Pride
F: Disappointment & Hopeful

Cause Options:
A: The judges disliked her baking style & She got a lot of money from the competition
B: She misplaced her favourite baking pan & She discovered a new baking technique
C: She was praised by her idol & She discovered a new baking technique
D: She discovered a new baking technique & She got a lot of money from the competition
E: The judges disliked her baking style & She discovered a new baking technique
F: She didn't win the competition despite working hard for it & She was praised by her idol

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Disappointment & Delight, Cause: F: She didn't win the competition despite working hard for it & She was praised by her idol",train
"
Question: Patrick is a passionate soccer player on his high school team. For the whole year, he has been practicing hard to win the championship. On the final day of the match, his leg gets injured. Yet, he still decides to finish the game. Surprisingly, Patrick scored the final goal, leading the team to victory. However, after the match, he found out that his injury needed numerous weeks of medical rest.
 What emotion is Patrick feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Gratitude & Guilt
B: Hopeless & Guilt
C: Pride & Hopeless
D: Sentimental & Guilt
E: Pride & Sentimental
F: Pride & Nervousness

Cause Options:
A: He is the best player in the team & His team won the championship without him
B: His injury is not severe & He cannot pursue his passion for playing soccer for a long time
C: He managed to help his team win while being injure & He cannot pursue his passion for playing soccer for a long time
D: He finished the match although he was injured & He cannot score another goal in the match
E: He finished the match although he was injured & His team won the championship without him
F: He is the best player in the team & He cannot pursue his passion for playing soccer for a long time

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: C: Pride & Hopeless, Cause: C: He managed to help his team win while being injure & He cannot pursue his passion for playing soccer for a long time",train
"
Question: Charlene is a big fan of Taylor Swift. She has been saving up her allowance for a year to go to her concert. One day, as she was sitting in a cafe, she decided to try buying a Taylor Swift concert ticket. She knew there was a long waitlist of people wanting to go to the concert, but she still gave it a try. After around thirty minutes, she became one of the few to buy the tickets. She screamed the moment she received the email for her purchase confirmation. Immediately after, she realized what she had done and apologized to the other customers.
 What emotion is Charlene feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Excitement & Pride & Embarrassment
B: Nervousness & Delight & Embarrassment
C: Nervousness & Pride & Delight
D: Excitement & Embarrassment & Hopeless
E: Excitement & Nervousness & Delight
F: Excitement & Delight & Embarrassment

Cause Options:
A: She's scared of crowded places like concerts & She actually got the ticket, despite the long waitlist & She's surprised by Taylor Swift's recent music album
B: Everybody else wants her to go to the concert & She screamed in the cafe & She didn't get the chance to go to the concert
C: She finally got the chance to talk to Taylor Swift & She didn't get the chance to go to the concert & She didn't know the concert is held in her favorite city
D: She finally got the chance to talk to Taylor Swift & She can enjoy coffee while listening to Taylor Swift & She didn't know the concert is held in her favorite city
E: Everybody else wants her to go to the concert & She's scared of crowded places like concerts & The people in the coffeeshop liked her voice
F: She can go to the concert she always wanted to go & She screamed in the cafe & She actually got the ticket, despite the long waitlist

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: F: Excitement & Delight & Embarrassment, Cause: F: She can go to the concert she always wanted to go & She screamed in the cafe & She actually got the ticket, despite the long waitlist",train
"
Question: Every evening, Alexa used to water her vegetable garden, which was in the backyard of her home. One evening, a group of children playing soccer in the nearby ground accidentally kicked the ball into her garden, damaging some of her plants. Alexa destroyed their ball to show her anger. The following afternoon, she saw the children arrive with new plants, apologizing for their actions and asking if they could have their ball back.
 What emotion is Alexa feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Gratitude & Joy
B: Anger & Gratitude
C: Anger & Disapproval
D: Joy & Hopeless
E: Disapproval & Joy
F: Gratitude & Guilt

Cause Options:
A: She doesn't like soccer & The kids asked for their ball back
B: The children apologized and offered to replace the plants & She destroyed the children's soccer ball
C: She appreciates the children respecting her personal space & The kids asked for their ball back
D: The children apologized and offered to replace the plants & The children stopped playing
E: The children apologized and offered to replace the plants & The kids asked for their ball back
F: She destroyed the children's soccer ball & The kids asked for their ball back

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: F: Gratitude & Guilt, Cause: B: The children apologized and offered to replace the plants & She destroyed the children's soccer ball",train
"
Question: James and I are coworkers. We've been best friends for over a decade. Our boss gives out an employee of the year award every year. This year, we both applied as candidates for this reward and worked hard to get it. The results were announced yesterday. My friend won the award. When we found out, he smiled at first but didn't celebrate.
 What emotion is James feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Sadness & Pride
B: Disapproval & Embarrassment
C: Sadness & Nervousness
D: Pride & Nervousness
E: Embarrassment & Nervousness
F: Anger & Nervousness

Cause Options:
A: He was hoping to lose the award & He knew the boss is biased towards him
B: He felt bad that I lost & He knew the boss is biased towards him
C: He was hoping to lose the award & He didn't believe that he deserved the award
D: He worked hard for the award & He knew the boss is biased towards him
E: He was expecting a huge celebration after winning the award & He felt bad that I lost
F: He felt bad that I lost & He worked hard for the award

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Sadness & Pride, Cause: F: He felt bad that I lost & He worked hard for the award",train
"
Question: The result of the hard chemistry test is finally out today. Victoria found out that, while she didn't pass the test, she earned a higher score than Bertha, her rival.
 What emotion is Bertha feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Disappointment & Jealousy
B: Jealousy & Hopeless
C: Pride & Nervousness
D: Pride & Jealousy
E: Excitement & Jealousy
F: Disappointment & Pride

Cause Options:
A: She didn't study hard enough for the test & Her rival earned a higher mark than her
B: Her classmates all passed the test & Victoria was better dressed than her
C: She expected Victoria to fail & Her classmates all passed the test
D: She didn't pass the test & She didn't study hard enough for the test
E: She didn't study hard enough for the test & The teacher was biased towards Victoria
F: She didn't pass the test & Her rival earned a higher mark than her

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Disappointment & Jealousy, Cause: F: She didn't pass the test & Her rival earned a higher mark than her",train
"
Question: When Clai was about to graduate from college, Michi, her best friend, told her that she wasn't able to come to her graduation. During the graduation day, Clai was walking down the stage to receive her diploma when suddenly she heard loud cheering and saw Michi.
 What emotion is Clai feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Sadness
B: Disapproval
C: Hopeless
D: Anger
E: Anticipation
F: Delight

Cause Options:
A: Clai was not expecting Michi to be at her graduation
B: Michi did not attend Clai's graduation
C: Clai graduated from college
D: Clai was not expecting to graduate from college

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: F: Delight, Cause: A: Clai was not expecting Michi to be at her graduation",train
"
Question: Ella gave her daughter Ada a music box for her 6th birthday, it played her favorite classical songs. Ada loved the music box and used to listen to it every night before bed. When Ada turned 10, she accidentally broke the music box. So, she hid the broken box and never mentioned the incident to Ella. One day, while cleaning, Ella found the broken music box and comforted Ada telling her that accidents happen.
 What emotion is Ella feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Acceptance
B: Disgust
C: Guilt
D: Embarrassment
E: Anger
F: Surprise

Cause Options:
A: She accepts that she needs to scold Ada for a past mistake
B: She understands that accidents happen and doesn't want Ada to feel guilty
C: She is glad that the music box broke so that she can buy Ada a new gift
D: She found the incident funny as she remembered her own childhood mischief

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Acceptance, Cause: B: She understands that accidents happen and doesn't want Ada to feel guilty",train
"
Question: Gabriel has had a long and tough day. He woke up early to go to work, got shouted at by his boss, and was laughed at by his coworkers. Then, he found that he might need to find a new job due to his recent failures. On his way home, Gabriel bought an ice cream to make himself feel better, but it fell to the ground right as he wanted to start eating it. Then, he started laughing hysterically.
 What emotion is Gabriel feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Sadness
B: Joy
C: Delight
D: Disapproval
E: Embarrassment
F: Gratitude

Cause Options:
A: He woke up early to go to work
B: He got shouted at by his boss
C: His ice cream fell to the ground
D: He has had a really tough day, in which nothing went his way

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Sadness, Cause: D: He has had a really tough day, in which nothing went his way",train
"
Question: Diana was a self-taught artist, while her sister Eliana has been going to classes since she was a child. Eliana often criticized Diana for her lack of creativity. One day, Eliana entered a prestigious photo contest and lost. She then found out that Diana had won the same contest with her artwork. So, she went online to write comments on how the judges do not understand art.
 What emotion is Eliana feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Disapproval
B: Anticipation
C: Remorse
D: Admiration
E: Excitement
F: Love

Cause Options:
A: Elina cannot believe that her sister, whom she often criticizes, could succeed
B: She did not attend enough classes
C: The judges did not understand creativity
D: She thinks she produced poor quality artwork

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Disapproval, Cause: A: Elina cannot believe that her sister, whom she often criticizes, could succeed",train
"
Question: Elise and Damon had been the best of friends since their high school days. Recently, Elise developed feelings for Damon and decided to confess. She rehearsed and finally, with her heart pounding, she confessed her feelings. Damon told her he had been in a relationship with someone else for a couple of months. Elise congratulated him and left hurriedly.
 What emotion is Elise feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Disappointment & Jealousy
B: Anticipation & Sentimental
C: Anticipation & Gratitude
D: Gratitude & Sentimental
E: Jealousy & Sentimental
F: Jealousy & Gratitude

Cause Options:
A: Damon is no longer her friend & Damon did not tell her about his relationship earlier
B: She found out the man he likes is in a relationship with someone else & She wanted Damon to confess
C: She confessed her love to her friend and got rejected & She found out the man he likes is in a relationship with someone else
D: Damon did not tell her about his relationship earlier & She wanted Damon to confess
E: Elise did not rehearse her confession properly & She found out the man he likes is in a relationship with someone else
F: Damon is no longer her friend & She found out the man he likes is in a relationship with someone else

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Disappointment & Jealousy, Cause: C: She confessed her love to her friend and got rejected & She found out the man he likes is in a relationship with someone else",train
"
Question: Rea is disliked by her classmates due to her high grades. Last week, their class had a very challenging chemistry test. When the papers were graded and handed out, Rea realized that she was the only student who passed the test among her classmates. So, she immediately tore her test paper and threw it out before anyone else saw it.
 What emotion is Rea's Classmates feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Anger
B: Surprise
C: Disapproval
D: Annoyance
E: Nervousness
F: Oblivious

Cause Options:
A: They believe that everyone failed the test
B: They think Rea also failed the test like them
C: They don't know that Rea was the only one who passed the test
D: They don't know how challenging the chemistry test was

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: F: Oblivious, Cause: C: They don't know that Rea was the only one who passed the test",train
"
Question: Alice had been working for a long time to afford the car of her dreams. After a lot of saving up, she was able to buy it today. Meanwhile, her brother Bill was going through financial struggles and had to sell his car a few weeks ago. Alice decided to take Bill for a ride in her new car that evening.
 What emotion is Bill feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Sadness
B: Excitement
C: Remorse
D: Disappointment
E: Hopeless
F: Guilt

Cause Options:
A: He doesn't like Alice's new car
B: Alice did not offer him a ride in her new car
C: He had to sell his own car due to financial struggles
D: He worked harder than Alice

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Sadness, Cause: C: He had to sell his own car due to financial struggles",train
"
Question: Elise and Damon had been the best of friends since their high school days. Recently, Elise developed feelings for Damon and decided to confess. She rehearsed and finally, with her heart pounding, she confessed her feelings. Damon told her he had been in a relationship with someone else for a couple of months. Elise congratulated him and left hurriedly.
 What emotion is Damon feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Guilt & Hopeless
B: Surprise & Anger
C: Surprise & Pride
D: Hopeless & Pride
E: Surprise & Guilt
F: Guilt & Disapproval

Cause Options:
A: He thought Elise was about to announce her engagement & He had to reject his friend's confession since he is in a relationship
B: Ellies remembered his birthday & He wanted to be the one to confess his feelings
C: He found out his friend has feelings for him & He wanted to be in a relationship with Ellise
D: He found out his friend has feelings for him & He had to reject his friend's confession since he is in a relationship
E: He had to reject his friend's confession since he is in a relationship & He wished he didn't tell Ellise about his other relationship
F: He wished he didn't tell Ellise about his other relationship & He wanted to be the one to confess his feelings

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: E: Surprise & Guilt, Cause: D: He found out his friend has feelings for him & He had to reject his friend's confession since he is in a relationship",train
"
Question: Rea is disliked by her classmates due to her high grades. Last week, their class had a very challenging chemistry test. When the papers were graded and handed out, Rea realized that she was the only student who passed the test among her classmates. So, she immediately tore her test paper and threw it out before anyone else saw it.
 What emotion is Rea feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Pride
B: Nervousness
C: Hopeless
D: Anger
E: Gratitude
F: Delight

Cause Options:
A: She didn't study for the test
B: She's the only one who passed the test and fears her classmates might dislike her even more
C: She accidentally tore her test paper
D: She did not know the answers to the test

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: B: Nervousness, Cause: B: She's the only one who passed the test and fears her classmates might dislike her even more",train
